id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45887442,"Sunny Airy Cait's Penthouse, 2 Private Terraces",582060,Fernando,Eixample,la Dreta de l'Eixample,41.39854,2.17181,Entire home/apt,100,32,0,,,23,332,0,
45888891,6 BED DORM PRIVATE Sant Jordi Rock Palace,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,41.39039,2.16089,Shared room,161,1,1,2021-08-15,1,15,312,1,AJ000593
45889068,8  BED DORM PRIVATE  Sant Jordi Rock Palace,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,41.39039,2.16089,Shared room,189,1,1,2021-06-24,0.37,15,321,1,AJ000593
45889115,8 BED MIXED DORM · 8 BED MIXED DORM · BED IN 8 BED MIXED DORM  Sant Jordi Rock Palace,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,41.39039,2.16089,Shared room,26,1,1,2021-06-02,0.29,15,352,1,AJ000593
45889186,BED IN 10 BED MIXED DORM Sant Jordi Rock Palace,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,41.39039,2.16089,Shared room,24,1,2,2021-09-06,1.33,15,364,2,AJ000593
45889448,6 BED FEMALE DORM · 6 BED FEMALE DORM · BED IN 6 BED FEMALE DORM  Sant Jordi Rock Palace,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,41.39039,2.16089,Shared room,30,1,0,,,15,346,0,AJ000593
45889595,BED IN 10 BED FEMALE DORM Sant Jordi Rock Palace,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,41.39039,2.16089,Shared room,24,1,0,,,15,360,0,AJ000593
45890359,One Bedroom with a Private Office in a New Build,346367515,Stay Ukio,Eixample,la Sagrada Família,41.40037,2.17444,Entire home/apt,83,31,0,,,52,190,0,
45890545,"Creative Space LIVE+WORK, Sant Antoni",589539,Pablo,Eixample,Sant Antoni,41.37568,2.16571,Entire home/apt,65,31,0,,,1,314,0,
45891321,Exclusive Luxe Design | Large Tranquil Penthouse,356720969,Alma,Eixample,la Dreta de l'Eixample,41.39652,2.16678,Entire home/apt,271,4,6,2021-08-25,2.61,28,12,6,HUTB-004084
45892575,Apartamento Familiar con vistas a Passeig de Colom,371760227,Miguel Angel,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38195,2.18213,Entire home/apt,367,1,13,2021-07-25,4.94,4,111,13,HB-004711
45892613,Estudio Deluxe con vistas a Passeig de Colom,371760227,Miguel Angel,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38182,2.1822,Entire home/apt,266,1,14,2021-07-08,1.67,4,111,14,HB-004711
45894629,High End Design C○nd○ next to Passeig de Gracia<,358847313,Gabriel,Eixample,la Dreta de l'Eixample,41.38987,2.16825,Entire home/apt,66,31,1,2021-08-16,1,8,143,1,
45897806,Luxury Surf House Beautiful Bright @Gothic Quarter,99080462,Maria,Ciutat Vella,el Barri Gòtic,41.37896,2.18133,Entire home/apt,117,2,15,2021-09-05,9.18,1,116,15,HUTB-586260
45904731,Gret one bedroom flat minutes from Plaza Cataluña,265193861,Joaquim,Eixample,el Fort Pienc,41.39643,2.18136,Entire home/apt,95,2,2,2021-02-14,0.25,115,341,2,HUTB001925
45906714,BED IN 6 BED FEMALE DORM Sant Jordi Hostels Gracia,308681334,Sant Jordi Hostels,Gràcia,la Vila de Gràcia,41.40366,2.1595,Shared room,38,1,0,,,4,194,0,AJ000535
45908216,HT- Apartamento Fira Montjuic Hostafrancs,351328829,Daniel,Sants-Montjuïc,Hostafrancs,41.37439,2.1412,Entire home/apt,53,3,4,2021-05-09,0.37,12,224,4,HUTB-004292
45911424,Habitacion tranquila y muy bien comunicada.,372204381,Cris,Sant Martí,Sant Martí de Provençals,41.41442,2.19793,Private room,25,7,0,,,1,365,0,Exempt
45921823,Spacious 1 Bed with balcony and high ceilings!,852380,Ilker,Eixample,la Dreta de l'Eixample,41.38987,2.17598,Entire home/apt,99,31,0,,,3,358,0,
45932248,Girona B,370992036,Kamel,Eixample,la Dreta de l'Eixample,41.39576,2.1678,Entire home/apt,48,30,1,2020-12-24,0.11,14,0,1,
